,Year,Race,Median U.S. Annual Salary
0,2011,Asian,45032
1,2011,White,40300
2,2011,African American,31890
3,2011,Hispanic/Latino,28548
4,2011,All Minority,35156
5,2010,Asian,44460
6,2010,White,39870
7,2010,African American,31772
8,2010,Hispanic/Latino,27820
9,2010,All Minority,34684
10,2009,Asian,45760
11,2009,White,39364
12,2009,African American,31252
13,2009,Hispanic/Latino,28132
14,2009,All Minority,35048
15,2007,Asian,43160
16,2007,White,37232
17,2007,African American,29588
18,2007,Hispanic/Latino,26156
19,2007,All Minority,32968
20,2006,Asian,40768
21,2006,White,35880
22,2006,African American,28808
23,2006,Hispanic/Latino,25272
24,2006,All Minority,31616
25,2005,Asian,39156
26,2005,White,34944
27,2005,African American,27040
28,2005,Hispanic/Latino,24492
29,2005,All Minority,30229
30,2004,Asian,36816
31,2004,White,34164
32,2004,African American,27300
33,2004,Hispanic/Latino,23712
34,2004,All Minority,29276
35,2003,Asian,36036
36,2003,White,33073
37,2003,African American,26728
38,2003,Hispanic/Latino,22880
39,2002,Asian,34216
40,2002,White,32396
41,2002,African American,25896
42,2002,Hispanic/Latino,22048